L	E	kEDM calc_distances	kEDM partial_sort	kEDM total	mpEDM calc_distances	mpEDM partial_sort	mpEDM total
1000	1	0.023031	0.0294509	0.0524819	0.0285027	0.0183873	0.04689
1000	2	0.023974	0.0304409	0.0544149	0.0255819	0.016487	0.0420689
1000	5	0.026747	0.0307484	0.0574954	0.0313038	0.0192114	0.0505152
1000	10	0.032353	0.0312428	0.0635958	0.0340686	0.020941	0.0550096
1000	20	0.042418	0.0390164	0.0814344	0.043572	0.0262554	0.0698274
2000	1	0.033829	0.0565814	0.0904104	0.0452544	0.0391968	0.0844512
2000	2	0.041364	0.0608743	0.1022383	0.0484268	0.0387318	0.0871586
2000	5	0.048563	0.0614036	0.1099666	0.058221	0.043036	0.101257
2000	10	0.063334	0.0678225	0.1311565	0.0737258	0.0544964	0.1282222
2000	20	0.09645	0.10375	0.2002	0.107978	0.116565	0.224543
5000	1	0.141775	0.250687	0.392462	0.208995	0.169759	0.378754
5000	2	0.173119	0.269278	0.442397	0.237312	0.175185	0.412497
5000	5	0.254305	0.28	0.534305	0.356501	0.20378	0.560281
5000	10	0.392275	0.330604	0.722879	0.439399	0.285751	0.72515
5000	20	0.63702	0.471627	1.108647	0.69568	0.494758	1.190438
10000	1	0.550427	0.948487	1.498914	0.766026	0.628536	1.394562
10000	2	0.647807	0.984033	1.63184	0.886574	0.655279	1.541853
10000	5	0.974539	1.06694	2.041479	1.215	0.747493	1.962493
10000	10	1.50176	1.2121	2.71386	1.69145	1.00352	2.69497
10000	20	2.49659	1.496	3.99259	2.69526	1.50296	4.19822
