L	E	kEDM calc_distances	kEDM partial_sort	kEDM total	mpEDM calc_distances	mpEDM partial_sort	mpEDM total
1000	1	0.01002	0.030738	0.040758	0.41333	0.07244	0.48577
1000	2	0.013335	0.04071	0.054045	0.47563	0.07256	0.54819
1000	5	0.014455	0.068246	0.082701	0.55236	0.07325	0.62561
1000	10	0.020336	0.108268	0.128604	0.67218	0.07319	0.74537
1000	20	0.030533	0.175246	0.205779	0.75967	0.07367	0.83334
2000	1	0.030991	0.077698	0.108689	0.82661	0.41778	1.24439
2000	2	0.046093	0.094778	0.140871	0.92284	0.41135	1.33419
2000	5	0.049429	0.153725	0.203154	1.08282	0.41339	1.49621
2000	10	0.071758	0.24846	0.320218	1.29902	0.40791	1.70693
2000	20	0.098875	0.589081	0.687956	1.46589	0.40587	1.87176
5000	1	0.149511	0.30634	0.455851	1.93307	1.86964	3.80271
5000	2	0.236601	0.368967	0.605568	2.2454	1.86469	4.11009
5000	5	0.241621	0.619966	0.861587	2.59129	1.85782	4.44911
5000	10	0.373698	1.236824	1.610522	3.1126	1.8454	4.958
5000	20	0.552557	2.363592	2.916149	3.51934	1.8433	5.36264
10000	1	0.56768	1.058172	1.625852	3.74012	6.59461	10.33473
10000	2	0.930182	1.175597	2.105779	4.19082	6.58059	10.77141
10000	5	0.904472	1.79163	2.696102	4.98243	6.5629	11.54533
10000	10	1.355169	3.341827	4.696996	6.08561	6.55277	12.63838
10000	20	2.048138	7.728157	9.776295	6.88365	6.56946	13.45311
