N	L	E	kEDM lookup	mpEDM lookup
10000	1000	1	0.433723	5.36136
10000	1000	2	0.553929	5.23408
10000	1000	5	0.964451	9.12375
10000	1000	10	1.6886	14.3649
10000	1000	20	3.42815	27.0961
10000	2000	1	0.884455	6.97864
10000	2000	2	1.09347	9.94668
10000	2000	5	1.92566	15.0731
10000	2000	10	3.39535	24.6776
10000	2000	20	6.99128	40.8029
10000	5000	1	4.20196	8.02694
10000	5000	2	4.23945	8.02633
10000	5000	5	5.3382	8.73018
10000	5000	10	9.07332	15.2208
10000	5000	20	18.4608	22.923
10000	10000	1	7.51011	17.2165
10000	10000	2	7.94615	20.6319
10000	10000	5	11.8188	23.572
10000	10000	10	19.6777	26.8255
10000	10000	20	38.2662	47.8899
100000	1000	1	7.9489	17.4293
100000	1000	2	8.02923	17.6076
100000	1000	5	11.5097	17.8027
100000	1000	10	16.0685	18.8574
100000	1000	20	27.3332	33.7149
100000	2000	1	15.8497	36.2819
100000	2000	2	15.8603	36.8543
100000	2000	5	24.7897	37.3128
100000	2000	10	32.3906	40.2496
100000	2000	20	55.8495	69.8898
100000	5000	1	39.5896	60.0602
100000	5000	2	39.7358	59.9824
100000	5000	5	55.3022	66.0959
100000	5000	10	84.2558	98.9993
100000	5000	20	146.329	181.913
100000	10000	1	78.0895	88.1793
100000	10000	2	80.1778	92.7121
100000	10000	5	122.584	124.744
100000	10000	10	180.536	194.163
100000	10000	20	308.21	370.352
