N	L	E	kEDM lookup
10000	1000	1	0.150284
10000	1000	2	0.185641
10000	1000	5	0.230364
10000	1000	10	0.474298
10000	1000	20	0.85689
10000	2000	1	0.380833
10000	2000	2	0.427794
10000	2000	5	0.574347
10000	2000	10	0.845937
10000	2000	20	1.643436
10000	5000	1	0.876312
10000	5000	2	1.000211
10000	5000	5	1.357268
10000	5000	10	2.167493
10000	5000	20	4.018554
10000	10000	1	2.324479
10000	10000	2	3.224781
10000	10000	5	3.766492
10000	10000	10	6.06874
10000	10000	20	9.866546
100000	1000	1	2.801335
100000	1000	2	3.281661
100000	1000	5	4.371547
100000	1000	10	6.726928
100000	1000	20	8.893458
100000	2000	1	4.620591
100000	2000	2	5.185007
100000	2000	5	7.275751
100000	2000	10	11.806904
100000	2000	20	19.447404
100000	5000	1	9.185357
100000	5000	2	10.67718
100000	5000	5	14.28977
100000	5000	10	22.110463
100000	5000	20	39.085365
100000	10000	1	19.656065
100000	10000	2	26.758885
100000	10000	5	32.345116
100000	10000	10	52.131856
100000	10000	20	79.373754
